"GridFTP tests - single threaded, multiple processes",,,,,,,,,,,,,
,,,,,,,,,,,,,
"In Seconds, lower is better",,,,,,,,,,,,,
,Server,,,,,,,,,,,,
Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,AWS Korea,AWS Australia
,Amsterdam,11.2,9.8,,,,,,,,,,
,NewYork,,92,18.8,4.6,10,,,,,,,
,AWS US E1,,,,,,,,,,,,
,San Diego,,,,,10,,8.3,13.9,,11.9,,
,AWS US W2,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In Gbps, higher is better",,,,,,,,,,,,,
,Server,,,,,,,,,,,,
Client,,AWS EU W1,AWS EU C1,Amsterdam,AWS US E1,Chicago,Kansas,San Diego,GCP US W1,Azure US W1,AWS US W2,AWS Korea,AWS Australia
,Amsterdam,8.9,10.2,,,,,,,,,,
,NewYork,,1.1,5.3,21.7,10.0,,,,,,,
,AWS US E1,,,,,,,,,,,,
,San Diego,,,,,10.0,,12.0,7.2,,8.4,,
,AWS US W2,,,,,,,,,,,,